DATE,Open,High,Low,Close,Volume,Adj_Close
11/9/17,21.530001,22,21.15,21.84,375100,21.84
11/10/17,23.48,26.889999,23,25.299999,2014600,25.299999
11/13/17,25.049999,26.870001,24.91,25.25,584800,25.25
11/14/17,25,25.736,24.26,25.02,518500,25.02
11/15/17,24.5,25.49,24.309999,25.23,484200,25.23
11/16/17,25.299999,27.023001,24.975,26,1139200,26
11/17/17,25.870001,26.43,25.549999,25.690001,462900,25.690001
11/20/17,25.879999,27.584999,25.84,27.450001,860400,27.450001
11/21/17,27.25,27.549999,26.459999,27.120001,479900,27.120001
11/22/17,27.01,27.450001,26.35,27.17,439400,27.17
11/24/17,27.190001,27.540001,27.120001,27.219999,177100,27.219999
11/27/17,27.32,27.565001,26.790001,27.32,441800,27.32
11/28/17,27.35,27.43,26.639999,26.65,431900,26.65
11/29/17,26.719999,27.15,24.639999,24.790001,816600,24.790001
11/30/17,25,26.099001,24.287001,24.959999,836500,24.959999
12/1/17,24.91,25.469999,24.513,24.889999,475900,24.889999
12/4/17,25.32,25.700001,24.379999,24.57,504000,24.57
12/5/17,24.43,25.76,24.43,25.629999,559300,25.629999
12/6/17,27.049999,28.415001,26.530001,27.84,1172000,27.84
12/7/17,28,28.040001,26.709999,26.83,984300,26.83
12/8/17,27.5,27.865,26.66,27.299999,590000,27.299999
12/11/17,27.809999,28.25,27.370001,28.02,809100,28.02
12/12/17,27.860001,28.690001,27.6,27.639999,629600,27.639999
12/13/17,28.4,29.09,28.040001,28.6,937100,28.6
12/14/17,28.75,29.16,27.83,27.83,637400,27.83
12/15/17,27.85,28.049999,27.108999,27.76,1934600,27.76
12/18/17,27.940001,28.263,27.129999,27.23,680800,27.23
12/19/17,27.190001,27.299999,26.280001,26.709999,867800,26.709999
12/20/17,26.77,27.195,23.950001,25.01,2372700,25.01
12/21/17,25.139999,26.709999,25.139999,25.77,984600,25.77
12/22/17,25.58,25.879999,25.110001,25.620001,292400,25.620001
12/26/17,25.5,26.5,25.5,26.209999,369400,26.209999
12/27/17,26.16,26.533001,25.82,25.93,202100,25.93
12/28/17,26.01,26.15,25.440001,25.950001,322100,25.950001
12/29/17,25.879999,25.889999,25.120001,25.27,267900,25.27
1/2/18,25.51,26.43,25.360001,26.17,471100,26.17
1/3/18,26.34,27.65,26.110001,27.07,419200,27.07
1/4/18,27.23,27.309999,26.389999,26.629999,264600,26.629999
1/5/18,26.74,27.290001,26.5,27.09,330100,27.09
1/8/18,27.209999,27.209999,26.280001,26.969999,378400,26.969999
1/9/18,27,27.889999,26.360001,26.58,392700,26.58
1/10/18,26.469999,26.73,26,26.440001,466100,26.440001
1/11/18,26.51,26.849001,25.809999,26.1,552400,26.1
1/12/18,26.110001,27.42,26.030001,26.969999,622400,26.969999
1/16/18,27.09,27.59,25.889999,26.26,633900,26.26
1/17/18,26.42,26.92,26.07,26.709999,251400,26.709999
1/18/18,26.83,28.52,26.305,28.09,873900,28.09
1/19/18,28.08,28.42,27.344999,28.27,686700,28.27
1/22/18,28.32,28.48,28.01,28.32,208800,28.32
1/23/18,28.200001,28.624001,28.111,28.559999,251700,28.559999
1/24/18,28.59,28.965,27.1,27.83,975100,27.83
1/25/18,29.85,31.6,28.549999,30,1619700,30
1/26/18,30.51,31.370001,29.937,30.48,731800,30.48
1/29/18,30.84,30.84,29.51,29.610001,459700,29.610001
1/30/18,29.450001,29.950001,29.01,29.309999,323200,29.309999
1/31/18,28.5,28.6,26.65,27.4,1192300,27.4
2/1/18,27.5,28.549999,27.221001,28.219999,456200,28.219999
2/2/18,27.959999,28.040001,27.08,27.200001,293400,27.200001
2/5/18,26.91,27.785,26.5,26.530001,491700,26.530001
2/6/18,26,27.5,25.530001,27.18,659000,27.18
2/7/18,27.370001,27.610001,26.76,27.24,346200,27.24
2/8/18,27.41,27.6,26.040001,26.27,579300,26.27
2/9/18,26.42,26.809999,24.459999,25.540001,906500,25.540001
2/12/18,25.809999,26.18,25,26.01,632200,26.01
2/13/18,25.959999,26.549999,25.879999,26.41,351800,26.41
2/14/18,26.290001,28.59,26.290001,27.639999,647800,27.639999
2/15/18,27.77,29.02,27.74,28.99,539900,28.99
2/16/18,28.959999,29.860001,28.681,29.41,923700,29.41
2/20/18,29.139999,29.719999,28.610001,29.299999,497400,29.299999
2/21/18,29.559999,30.219999,29.290001,29.52,675300,29.52
2/22/18,30.969999,35.813,30.969999,33.75,2020600,33.75
2/23/18,34.169998,34.490002,32.401001,33.380001,774900,33.380001
2/26/18,33.5,34.790001,33.209999,33.5,885400,33.5
2/27/18,33.740002,34,32.150002,32.75,526000,32.75
2/28/18,33.07,34.669998,33.07,34.189999,883800,34.189999
3/1/18,34.25,35.110001,33.02,34.799999,864800,34.799999
3/2/18,34.450001,36.700001,33.830002,36.630001,1094200,36.630001
3/5/18,36.5,38.009998,36.349998,37.84,919200,37.84
3/6/18,38,38.16,37.330002,38.060001,605300,38.060001
3/7/18,37.740002,38.419998,37.52,38.169998,364000,38.169998
3/8/18,38.540001,38.880001,37.540001,37.700001,314600,37.700001
3/9/18,38.099998,38.494999,37.77,38.419998,228300,38.419998
3/12/18,38.25,38.419998,37.25,38.130001,376500,38.130001
3/13/18,37.57,38.209999,35.880001,36.23,589000,36.23
3/14/18,36.490002,37.470001,36.220001,36.810001,479700,36.810001
3/15/18,37.049999,37.125999,35.709999,36.240002,487500,36.240002
3/16/18,36.389999,37.290001,36.060001,36.369999,533900,36.369999
3/19/18,36.279999,36.93,34.700001,35.029999,606700,35.029999
3/20/18,35.060001,37,34.939999,36.540001,516800,36.540001
3/21/18,36.450001,38,36.258999,37.759998,550500,37.759998
